Date,Open,High,Low,Close,Volume,Adj Close
2015-07-18,276.78,283.0,276.76,276.79,9541.62349999,276.79
2015-07-19,275.18,278.1,275.18,275.36,4827.3706795,275.36
2015-07-20,277.66,279.16,274.62,277.79,8958.92112453,277.79
2015-07-21,278.97,281.07,277.38,278.96,7613.2605551,278.96
2015-07-22,276.12,278.99,275.0,276.37,9504.57033952,276.37
2015-07-23,276.5,278.55,275.5,276.64,7711.17029869,276.64
2015-07-24,289.03,289.7,275.9,289.43,14959.39538016,289.43
2015-07-25,288.08,292.0,286.5,288.27,8219.01409036,288.27
2015-07-26,292.66,294.0,287.36,292.72,5289.61113422,292.72
2015-07-27,296.27,297.28,286.43,296.25,13844.49812483,296.25
2015-07-28,293.88,297.44,292.19,294.2,9983.61541049,294.2
2015-07-29,291.16,294.69,287.27,291.26,9952.49007242,291.26
2015-07-30,287.12,291.32,284.53,287.34,8318.65885003,287.34
2015-07-31,284.49,289.0,281.8,284.66,7899.7286527,284.66
2015-08-01,280.19,285.16,276.66,280.57,7232.64930328,280.57
2015-08-02,281.35,282.0,276.57,281.33,4302.27401717,281.33
2015-08-03,283.5,285.8,279.52,283.5,6267.56385366,283.5
2015-08-04,285.34,285.88,280.26,285.35,6366.66906345,285.35
2015-08-05,281.87,285.86,280.63,281.99,6536.73945091,281.99
2015-08-06,277.5,281.99,276.8,277.61,6857.40022844,277.61
2015-08-07,279.32,280.43,274.19,279.54,8996.85118851,279.54
2015-08-08,266.81,279.97,266.8,267.04,8880.01438774,267.04
2015-08-09,264.54,268.95,260.41,264.66,10052.88537958,264.66
2015-08-10,264.0,266.79,261.6,264.19,9571.44436729,264.19
2015-08-11,268.86,268.99,263.07,268.86,8022.93245922,268.86
2015-08-12,269.6,271.5,265.71,270.13,9592.52278737,270.13
2015-08-13,264.73,270.41,262.32,264.99,11313.42204357,264.99
2015-08-14,266.28,266.99,262.0,266.45,8181.87166202,266.45
2015-08-15,262.44,266.5,262.5,262.56,4567.31959262,262.56
2015-08-16,256.67,263.06,254.01,256.98,10359.09754102,256.98
2015-08-17,256.2,259.12,254.63,256.21,8624.37261519,256.21
2015-08-18,251.34,256.99,247.0,251.88,10537.85491112,251.88
